candle_num,timestamp,slug,title,candle_start,candle_end,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate
1,2026-02-20T18:55:00.004651+00:00,btc-updown-5m-1771613400,"Bitcoin Up or Down - February 20, 1:50PM-1:55PM ET",18:50:00 UTC,18:55:00 UTC,67782.39,67829.18,46.79,UP,BUY_UP,UP,0.9300,5.00,True,0.3763,7.53,0.3763,10.3763,100.0
2,2026-02-20T19:05:00.041850+00:00,btc-updown-5m-1771614000,"Bitcoin Up or Down - February 20, 2:00PM-2:05PM ET",19:00:00 UTC,19:05:00 UTC,67924.21,67708.00,-216.21,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.3763,10.3763,100.0
3,2026-02-20T19:15:00.010097+00:00,btc-updown-5m-1771614600,"Bitcoin Up or Down - February 20, 2:10PM-2:15PM ET",19:10:00 UTC,19:15:00 UTC,67797.33,67709.07,-88.26,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.3763,10.3763,100.0
4,2026-02-20T19:25:00.027214+00:00,btc-updown-5m-1771615200,"Bitcoin Up or Down - February 20, 2:20PM-2:25PM ET",19:20:00 UTC,19:25:00 UTC,67724.75,67729.09,4.34,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.3763,10.3763,100.0
5,2026-02-20T19:35:00.022207+00:00,btc-updown-5m-1771615800,"Bitcoin Up or Down - February 20, 2:30PM-2:35PM ET",19:30:00 UTC,19:35:00 UTC,67625.23,67782.69,157.46,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.3763,10.3763,100.0
6,2026-02-20T19:45:00.020825+00:00,btc-updown-5m-1771616400,"Bitcoin Up or Down - February 20, 2:40PM-2:45PM ET",19:40:00 UTC,19:45:00 UTC,67762.85,67610.60,-152.25,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.3763,10.3763,100.0
7,2026-02-20T19:55:00.038774+00:00,btc-updown-5m-1771617000,"Bitcoin Up or Down - February 20, 2:50PM-2:55PM ET",19:50:00 UTC,19:55:00 UTC,67579.21,67656.84,77.63,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.3763,10.3763,100.0
8,2026-02-20T20:05:00.000898+00:00,btc-updown-5m-1771617600,"Bitcoin Up or Down - February 20, 3:00PM-3:05PM ET",20:00:00 UTC,20:05:00 UTC,67646.03,67694.65,48.62,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.3763,10.3763,100.0
9,2026-02-20T20:15:00.004737+00:00,btc-updown-5m-1771618200,"Bitcoin Up or Down - February 20, 3:10PM-3:15PM ET",20:10:00 UTC,20:15:00 UTC,67766.77,67816.34,49.57,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.3763,10.3763,100.0
10,2026-02-20T20:25:00.041625+00:00,btc-updown-5m-1771618800,"Bitcoin Up or Down - February 20, 3:20PM-3:25PM ET",20:20:00 UTC,20:25:00 UTC,67738.80,67662.75,-76.05,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.3763,10.3763,100.0
11,2026-02-20T20:35:00.036691+00:00,btc-updown-5m-1771619400,"Bitcoin Up or Down - February 20, 3:30PM-3:35PM ET",20:30:00 UTC,20:35:00 UTC,67580.09,67574.01,-6.08,DOWN,SKIP_WIDE_SPREAD,,0.5300,0.00,False,0.0000,0.00,0.3763,10.3763,100.0
